--2019-04-11 09:31:29--  http://178.157.14.137/media/interview.mp4
178.157.14.137:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 1523434523 (1,4G) [video/mp4]
Kayıt yeri: `cubic-out/interview.mp4'

  6100K .......... .......... .......... .......... ..........  0% 1,71M 83m55s
  6150K .......... .......... .......... .......... ..........  0% 2,38M 83m55s
  6200K .......... .......... .......... .......... ..........  0% 2,08M 84m1s
  6250K .......... .......... .......... .......... ..........  0% 3,01M 83m53s
  6300K .......... .......... .......... .......... ..........  0% 2,58M 83m50s
  6350K .......... .......... .......... .......... ..........  0% 2,14M 83m55s
  6400K .......... .......... .......... .......... ..........  0% 1,37M 84m25s
  6450K .......... .......... .......... .......... ..........  0% 1,43M 84m51s
  6500K .......... .......... .......... .......... ..........  0% 2,07M 84m57s
  6550K .......... .......... .......... .......... ..........  0% 1,51M 85m19s
  6600K .......... .......... .......... .......... ..........  0% 1,46M 85m43s
  6650K .......... .......... .......... .......... ..........  0% 2,32M 85m43s
  6700K .......... .......... .......... .......... ..........  0% 1,99M 85m50s
  6750K .......... .......... .......... .......... ..........  0% 2,55M 85m47s
  6800K .......... .......... .......... .......... ..........  0% 3,36M 85m36s
  6850K .......... .......... .......... .......... ..........  0% 4,03M 85m20s
  6900K .......... .......... .......... .......... ..........  0% 4,38M 85m3s
  6950K .......... .......... .......... .......... ..........  0% 3,17M 84m54s
  7000K .......... .......... .......... .......... ..........  0% 3,81M 84m40s
  7050K .......... .......... .......... .......... ..........  0% 2,59M 84m37s
  7100K .......... .......... .......... .......... ..........  0% 3,06M 84m29s
  7150K .......... .......... .......... .......... ..........  0% 2,51M 84m27s
  7200K .......... .......... .......... .......... ..........  0% 3,28M 84m18s
  7250K .......... .......... .......... .......... ..........  0% 2,94M 84m11s
  7300K .......... .......... .......... .......... ..........  0% 2,03M 84m17s
  7350K .......... .......... .......... .......... ..........  0% 1,78M 84m29s
  7400K .......... .......... .......... .......... ..........  0% 1,55M 84m47s
  7450K .......... .......... .......... .......... ..........  0% 2,15M 84m51s
  7500K .......... .......... .......... .......... ..........  0% 2,07M 84m56s
  7550K .......... .......... .......... .......... ..........  0% 3,08M 84m48s
  7600K .......... .......... .......... .......... ..........  0% 2,57M 84m45s
  7650K .......... .......... .......... .......... ..........  0% 2,69M 84m41s
  7700K .......... .......... .......... .......... ..........  0% 2,90M 84m35s
  7750K .......... .......... .......... .......... ..........  0% 2,59M 84m32s
  7800K .......... .......... .......... .......... ..........  0% 2,16M 84m36s
  7850K .......... .......... .......... .......... ..........  0% 2,07M 84m41s
  7900K .......... .......... .......... .......... ..........  0% 1,79M 84m51s
