--2019-04-11 02:05:06--  http://178.157.14.138/media/nasaAstronauts.mp4
178.157.14.138:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 476587036 (455M) [video/mp4]
Kayıt yeri: `lead-out/nasaAstronauts.mp4'

  6450K .......... .......... .......... .......... ..........  1%  637K 1h44m
  6500K .......... .......... .......... .......... ..........  1%  490K 1h44m
  6550K .......... .......... .......... .......... ..........  1%  822K 1h44m
  6600K .......... .......... .......... .......... ..........  1%  582K 1h44m
  6650K .......... .......... .......... .......... ..........  1%  486K 1h44m
  6700K .......... .......... .......... .......... ..........  1%  324K 1h44m
  6750K .......... .......... .......... .......... ..........  1%  274K 1h45m
  6800K .......... .......... .......... .......... ..........  1%  390K 1h46m
  6850K .......... .......... .......... .......... ..........  1%  563K 1h46m
  6900K .......... .......... .......... .......... ..........  1%  586K 1h46m
  6950K .......... .......... .......... .......... ..........  1%  773K 1h46m
  7000K .......... .......... .......... .......... ..........  1%  547K 1h46m
  7050K .......... .......... .......... .......... ..........  1%  559K 1h46m
  7100K .......... .......... .......... .......... ..........  1%  580K 1h46m
  7150K .......... .......... .......... .......... ..........  1%  751K 1h45m
  7200K .......... .......... .......... .......... ..........  1%  748K 1h45m
  7250K .......... .......... .......... .......... ..........  1%  850K 1h45m
  7300K .......... .......... .......... .......... ..........  1%  785K 1h45m
  7350K .......... .......... .......... .......... ..........  1%  671K 1h45m
  7400K .......... .......... .......... .......... ..........  1%  652K 1h45m
  7450K .......... .......... .......... .......... ..........  1%  719K 1h45m
  7500K .......... .......... .......... .......... ..........  1%  708K 1h44m
  7550K .......... .......... .......... .......... ..........  1%  653K 1h44m
  7600K .......... .......... .......... .......... ..........  1%  728K 1h44m
  7650K .......... .......... .......... .......... ..........  1%  689K 1h44m
  7700K .......... .......... .......... .......... ..........  1%  708K 1h44m
  7750K .......... .......... .......... .......... ..........  1%  671K 1h44m
  7800K .......... .......... .......... .......... ..........  1%  615K 1h44m
  7850K .......... .......... .......... .......... ..........  1%  525K 1h44m
  7900K .......... .......... .......... .......... ..........  1%  822K 1h44m
  7950K .......... .......... .......... .......... ..........  1%  462K 1h44m
  8000K .......... .......... .......... .......... ..........  1%  346K 1h44m
  8050K .......... .......... .......... .......... ..........  1%  363K 1h45m
  8100K .......... .......... .......... .......... ..........  1%  369K 1h45m
  8150K .......... .......... .......... .......... ..........  1%  428K 1h45m
  8200K .......... .......... .......... .......... ..........  1%  554K 1h45m
  8250K .......... .......... .......... .......... ..........  1%  785K 1h45m
  8300K .......... .......... .......... .......... ..........  1%  728K 1h45m
  8350K .......... .......... .......... .......... ..........  1%  719K 1h45m
  8400K .......... .......... .......... .......... ..........  1%  750K 1h45m
  8450K .......... .......... .......... .......... ..........  1%  762K 1h45m
  8500K .......... .......... .......... .......... ..........  1%  614K 1h45m
  8550K .......... .......... .......... .......... ..........  1%  809K 1h45m
  8600K .......... .......... .......... .......... ..........  1%  673K 1h44m
  8650K .......... .......... .......... .......... ..........  1%  729K 1h44m
  8700K .......... .......... .......... .......... ..........  1%  662K 1h44m
  8750K .......... .......... .......... .......... ..........  1%  684K 1h44m
  8800K .......... .......... .......... .......... ..........  1%  849K 1h44m
  8850K .......... .......... .......... .......... ..........  1%  729K 1h44m
  8900K .......... .......... .......... .......... ..........  1%  632K 1h44m
  8950K .......... .......... .......... .......... ..........  1%  846K 1h44m
  9000K .......... .......... .......... .......... ..........  1%  511K 1h44m
  9050K .......... .......... .......... .......... ..........  1%  589K 1h44m
  9100K .......... .......... .......... .......... ..........  1%  657K 1h44m
  9150K .......... .......... .......... .......... ..........  1%  707K 1h44m
  9200K .......... .......... .......... .......... ..........  1%  697K 1h43m
  9250K .......... .......... .......... .......... ..........  1%  655K 1h43m
  9300K .......... .......... .......... .......... ..........  2%  545K 1h43m
  9350K .......... .......... .......... .......... ..........  2%  531K 1h44m
  9400K .......... .......... .......... .......... ..........  2%  586K 1h44m
  9450K .......... .......... .......... .......... ..........  2%  542K 1h44m
  9500K .......... .......... .......... .......... ..........  2%  432K 1h44m
